0	0.073181213	0.762942521	0.708396815	2.679070779	0.07216	0.033792911	0.199943153	0.193339949	0.160970704	0.047213589
0.1	0.129444667	0.792233808	0.682599837	2.506490447	0.228216667	0.030004379	0.336026095	0.26718233	0.158730683	0.101549937
0.2	0.155053505	0.834718438	0.701708809	2.423486781	0.2039	0.045767831	0.202699563	0.155939668	0.176558208	0.121727195
0.3	0.206937572	0.802643532	0.633192402	2.209021109	0.27825	0.050040022	0.254211594	0.192141412	0.198819352	0.03382607
0.4	0.307095156	1.16513306	0.813813052	1.95861477	0.2236	0.067136839	0.345512675	0.294853874	0.198781762	0.110125964
0.5	0.313548945	1.49315984	1.03516967	1.876527512	0.215775	0.059405499	0.414714383	0.33984815	0.231789401	0.083169822
0.6	0.381343364	1.73646945	1.0693096	1.694117041	0.272483333	0.080589468	0.468057108	0.32084298	0.226255025	0.069979552
0.7	0.315963924	2.424693204	1.676041488	1.943265099	0.18274	0.070833682	0.550426099	0.493045456	0.265552125	0.090558688
0.8	0.380579269	3.213575344	2.019380319	1.638481999	0.14938	0.044628284	0.902798184	0.678087258	0.136082146	0.142186714
0.9	0.322211652	4.747917465	3.203556063	1.745144039	0.22212	0.035194592	2.274078982	1.504019005	0.167390384	0.029765709
